# uJy	c1			c2			c3			c4				c5
0 		6.23        1.82        0.98        0.8695        0.2338
1 		7.33        3.02        5.34        0.5863        0.6410
3 		6.91        2.38        5.84        0.4780        0.9181
5  		6.77        2.17        6.63        0.5884        0.8076
6  		6.84        2.23        7.13        0.5908        0.8455
7.3 	6.76        2.14        7.36        0.5088        1.0222
10		6.64        2.01        7.95        0.4489        1.2069
23		6.02        1.43        9.03        0.5751        0.9993
40		5.74        1.22        10.58       0.5125        1.1842
70		5.62        1.11        13.03       0.6193        1.0179
100		5.63        1.41        15.49       0.6212        1.0759
